"term: Jason Calacanis description: Jason McCabe Calacanis (born November 28; 1970) is an American Internet entrepreneur; angel investor; author and podcaster.",	'PERSON',
"term: Fordham_University description: Fordham University () is a private Jesuit research university in New York City.",	'PLACE',
"term: Blog description: A blog (a truncation of weblog) is a discussion or informational website published on the World Wide Web consisting of discrete; often informal diary-style text entries (posts).",	'OBJECT',
"term: Open_Angel_Forum description: The Open Angel Forum is a recurring event designed to aid early stage startup companies seeking funding; via presentations to prospective angel investors.",	'EVENT',
"term: Netscape description: Netscape Communications Corporation (originally Mosaic Communications Corporation) was an American independent computer services company with headquarters in Mountain View; California and then Dulles; Virginia.", 'ORG',
"term: Angel_investment description: An angel investor (also known as a business angel; informal investor; angel funder; private investor; or seed investor) is an individual who provides capital for a business start-up; usually in exchange for convertible debt or ownership equity.", "OBJECT",
"term: Silicon_Alley description: Silicon Alley is an area of high tech companies centered around southern Manhattan's Flatiron district in New York City. The term was coined in the 1990s during the dot-com boom; alluding to California's Silicon Valley tech center.", "PLACE",
"term: Trello description: Trello is a web-based; Kanban-style; list-making application and is a subsidiary of Atlassian. Originally created by Fog Creek Software in 2011; it was spun out to form the basis of a separate company in 2014 and later sold to Atlassian in January 2017.", "ORG",
"term: Elon Musk description: Elon Reeve Musk  ( EE-lon; born June 28; 1971) is an entrepreneur and business magnate. He is the founder; CEO; and Chief Engineer at SpaceX; early stage investor; CEO; and Product Architect of Tesla; Inc.; founder of The Boring Company; and co-founder of Neuralink and OpenAI.", "PERSON",
"term: Angel Investor description: An angel investor (also known as a business angel; informal investor; angel funder; private investor; or seed investor) is an individual who provides capital for a business start-up; usually in exchange for convertible debt or ownership equity.", 'TYPE',
